Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-11 00:00:00+00:00,30417.6328125,30417.6328125,30417.6328125,30417.6328125,0,0.0,0.0
2023-07-11 00:01:00+00:00,30423.056640625,30423.056640625,30423.056640625,30423.056640625,0,0.0,0.0
2023-07-11 00:03:00+00:00,30420.857421875,30420.857421875,30420.857421875,30420.857421875,4260864,0.0,0.0
2023-07-11 00:04:00+00:00,30423.626953125,30423.626953125,30423.626953125,30423.626953125,3532800,0.0,0.0
2023-07-11 00:06:00+00:00,30416.01953125,30416.01953125,30416.01953125,30416.01953125,10917888,0.0,0.0
2023-07-11 00:07:00+00:00,30412.908203125,30412.908203125,30412.908203125,30412.908203125,16378880,0.0,0.0
2023-07-11 00:09:00+00:00,30425.96875,30425.96875,30425.96875,30425.96875,0,0.0,0.0
2023-07-11 00:10:00+00:00,30420.130859375,30420.130859375,30420.130859375,30420.130859375,0,0.0,0.0
2023-07-11 00:11:00+00:00,30427.009765625,30427.009765625,30427.009765625,30427.009765625,0,0.0,0.0
2023-07-11 00:12:00+00:00,30443.5625,30443.5625,30443.5625,30443.5625,0,0.0,0.0
2023-07-11 00:13:00+00:00,30450.1953125,30450.1953125,30450.1953125,30450.1953125,0,0.0,0.0
2023-07-11 00:14:00+00:00,30442.734375,30442.734375,30442.734375,30442.734375,0,0.0,0.0
2023-07-11 00:15:00+00:00,30450.015625,30450.015625,30450.015625,30450.015625,0,0.0,0.0
2023-07-11 00:16:00+00:00,30452.013671875,30452.013671875,30452.013671875,30452.013671875,0,0.0,0.0
2023-07-11 00:18:00+00:00,30488.515625,30488.515625,30488.515625,30488.515625,0,0.0,0.0
2023-07-11 00:19:00+00:00,30482.09765625,30482.09765625,30482.09765625,30482.09765625,17686528,0.0,0.0
2023-07-11 00:21:00+00:00,30472.55859375,30472.55859375,30472.55859375,30472.55859375,2584576,0.0,0.0
2023-07-11 00:22:00+00:00,30476.03125,30476.03125,30476.03125,30476.03125,5979136,0.0,0.0
2023-07-11 00:23:00+00:00,30475.79296875,30475.79296875,30475.79296875,30475.79296875,0,0.0,0.0
2023-07-11 00:24:00+00:00,30466.64453125,30466.64453125,30466.64453125,30466.64453125,0,0.0,0.0
2023-07-11 00:25:00+00:00,30469.71484375,30469.71484375,30469.71484375,30469.71484375,0,0.0,0.0
2023-07-11 00:27:00+00:00,30466.69140625,30466.69140625,30466.69140625,30466.69140625,0,0.0,0.0
2023-07-11 00:28:00+00:00,30455.212890625,30455.212890625,30455.212890625,30455.212890625,0,0.0,0.0
2023-07-11 00:30:00+00:00,30443.755859375,30443.755859375,30443.755859375,30443.755859375,0,0.0,0.0
2023-07-11 00:31:00+00:00,30439.18359375,30439.18359375,30439.18359375,30439.18359375,0,0.0,0.0
2023-07-11 00:33:00+00:00,30443.873046875,30443.873046875,30443.873046875,30443.873046875,0,0.0,0.0
2023-07-11 00:34:00+00:00,30442.849609375,30442.849609375,30442.849609375,30442.849609375,0,0.0,0.0
2023-07-11 00:35:00+00:00,30446.302734375,30446.302734375,30446.302734375,30446.302734375,0,0.0,0.0
2023-07-11 00:36:00+00:00,30403.4921875,30403.4921875,30403.4921875,30403.4921875,0,0.0,0.0
2023-07-11 00:37:00+00:00,30409.41796875,30409.41796875,30409.41796875,30409.41796875,0,0.0,0.0
2023-07-11 00:39:00+00:00,30384.755859375,30384.755859375,30384.755859375,30384.755859375,0,0.0,0.0
2023-07-11 00:40:00+00:00,30385.732421875,30385.732421875,30385.732421875,30385.732421875,12669952,0.0,0.0
2023-07-11 00:42:00+00:00,30377.08203125,30377.08203125,30377.08203125,30377.08203125,5709824,0.0,0.0
2023-07-11 00:43:00+00:00,30381.91796875,30381.91796875,30381.91796875,30381.91796875,3281920,0.0,0.0
2023-07-11 00:44:00+00:00,30375.580078125,30375.580078125,30375.580078125,30375.580078125,0,0.0,0.0
2023-07-11 00:46:00+00:00,30377.169921875,30377.169921875,30377.169921875,30377.169921875,0,0.0,0.0
2023-07-11 00:48:00+00:00,30393.55078125,30393.55078125,30393.55078125,30393.55078125,0,0.0,0.0
2023-07-11 00:49:00+00:00,30378.13671875,30378.13671875,30378.13671875,30378.13671875,0,0.0,0.0
2023-07-11 00:50:00+00:00,30383.978515625,30383.978515625,30383.978515625,30383.978515625,924672,0.0,0.0
2023-07-11 00:51:00+00:00,30378.5234375,30378.5234375,30378.5234375,30378.5234375,0,0.0,0.0
2023-07-11 00:52:00+00:00,30381.54296875,30381.54296875,30381.54296875,30381.54296875,0,0.0,0.0
2023-07-11 00:54:00+00:00,30388.98046875,30388.98046875,30388.98046875,30388.98046875,0,0.0,0.0
2023-07-11 00:55:00+00:00,30385.96875,30385.96875,30385.96875,30385.96875,5657600,0.0,0.0
2023-07-11 00:57:00+00:00,30420.38671875,30420.38671875,30420.38671875,30420.38671875,2436096,0.0,0.0
2023-07-11 00:58:00+00:00,30409.208984375,30409.208984375,30409.208984375,30409.208984375,0,0.0,0.0
2023-07-11 01:00:00+00:00,30417.833984375,30417.833984375,30417.833984375,30417.833984375,339968,0.0,0.0
2023-07-11 01:01:00+00:00,30430.578125,30430.578125,30430.578125,30430.578125,0,0.0,0.0
2023-07-11 01:03:00+00:00,30425.845703125,30425.845703125,30425.845703125,30425.845703125,0,0.0,0.0
2023-07-11 01:04:00+00:00,30436.173828125,30436.173828125,30436.173828125,30436.173828125,0,0.0,0.0
2023-07-11 01:06:00+00:00,30419.791015625,30419.791015625,30419.791015625,30419.791015625,1977344,0.0,0.0
2023-07-11 01:07:00+00:00,30430.431640625,30430.431640625,30430.431640625,30430.431640625,743424,0.0,0.0
2023-07-11 01:08:00+00:00,30431.97265625,30431.97265625,30431.97265625,30431.97265625,1655808,0.0,0.0
2023-07-11 01:10:00+00:00,30456.26953125,30456.26953125,30456.26953125,30456.26953125,5416960,0.0,0.0
2023-07-11 01:11:00+00:00,30451.71484375,30451.71484375,30451.71484375,30451.71484375,63488,0.0,0.0
2023-07-11 01:12:00+00:00,30449.791015625,30449.791015625,30449.791015625,30449.791015625,97280,0.0,0.0
2023-07-11 01:13:00+00:00,30464.42578125,30464.42578125,30464.42578125,30464.42578125,0,0.0,0.0
2023-07-11 01:15:00+00:00,30458.60546875,30458.60546875,30458.60546875,30458.60546875,6639616,0.0,0.0
2023-07-11 01:16:00+00:00,30463.30859375,30463.30859375,30463.30859375,30463.30859375,4954112,0.0,0.0
2023-07-11 01:18:00+00:00,30464.15234375,30464.15234375,30464.15234375,30464.15234375,1902592,0.0,0.0
2023-07-11 01:19:00+00:00,30465.396484375,30465.396484375,30465.396484375,30465.396484375,12531712,0.0,0.0
2023-07-11 01:21:00+00:00,30464.78125,30464.78125,30464.78125,30464.78125,1124352,0.0,0.0
2023-07-11 01:22:00+00:00,30463.609375,30463.609375,30463.609375,30463.609375,1431552,0.0,0.0
